127.0.0.1 - - [21/Dec/2021:16:03:11 +0300] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:14 +0300] "GET /TikiShop/bill HTTP/1.1" 200 8866
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:16 +0300] "GET /TikiShop/register HTTP/1.1" 200 15996
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:16 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:16 +0300] "GET /TikiShop/assets/user_interface/bookImgs/sevenways.jpg HTTP/1.1" 200 7767
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:16 +0300] "GET /TikiShop/assets/user_interface/bookImgs/giverstars.jpg HTTP/1.1" 200 10951
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:16 +0300] "GET /TikiShop/assets/user_interface/bookImgs/becoming.jpg HTTP/1.1" 200 426065
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:33 +0300] "POST /TikiShop/login HTTP/1.1" 200 15996
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:33 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:33 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:38 +0300] "POST /TikiShop/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:38 +0300] "GET /TikiShop/home?statusLogin=Something+wrong%21 HTTP/1.1" 200 25477
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:38 +0300] "GET /TikiShop/assets/user_interface/bookImgs/myname.jpg HTTP/1.1" 200 175732
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:38 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:56 +0300] "GET /TikiShop/category/Cook HTTP/1.1" 200 9976
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:56 +0300] "GET /TikiShop/assets/user_interface/bookImgs/nadiyabakes.jpg HTTP/1.1" 200 276045
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:56 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:59 +0300] "GET /TikiShop/category/index.html HTTP/1.1" 200 6900
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:04:59 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:05 +0300] "GET /TikiShop HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:05 +0300] "GET /TikiShop/ HTTP/1.1" 200 25475
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:05 +0300] "GET /TikiShop/assets/user_interface/bookImgs/lovestory.jpg HTTP/1.1" 200 216717
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:05 +0300] "GET /TikiShop/assets/user_interface/bookImgs/loveispower.jpg HTTP/1.1" 200 277854
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:05 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:41 +0300] "GET /TikiShop/product-detail/57 HTTP/1.1" 200 18087
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:41 +0300] "GET /TikiShop/product-detail/assets/img/paypal.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:41 +0300] "GET /TikiShop/assets/user_interface/bookImgs/talkaboutlove.jpg HTTP/1.1" 200 164061
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:41 +0300] "GET /TikiShop/assets/user_interface/bookImgs/greatgoddesses.jpg HTTP/1.1" 200 732984
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:41 +0300] "GET /TikiShop/assets/user_interface/bookImgs/yearofwitching.jpg HTTP/1.1" 200 666442
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:41 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:41 +0300] "GET /TikiShop/assets/user_interface/bookImgs/deathinherhands.jpg HTTP/1.1" 200 666115
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:47 +0300] "GET /TikiShop/product-detail/cart.html HTTP/1.1" 400 762
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:47 +0300] "GET /favicon.ico HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:51 +0300] "GET /TikiShop HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:51 +0300] "GET /TikiShop/ HTTP/1.1" 200 25476
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:51 +0300] "GET /TikiShop/assets/user_interface/bookImgs/sixtystories.jpg HTTP/1.1" 200 51706
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:51 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:59 +0300] "GET /TikiShop/AddCart/72 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:59 +0300] "GET /TikiShop/ HTTP/1.1" 200 25880
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:59 +0300] "GET /TikiShop/assets/user_interface/bookImgs/jurassicpark.jpg HTTP/1.1" 200 376481
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:05:59 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:06:01 +0300] "GET /TikiShop/cart HTTP/1.1" 200 8540
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:06:02 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:06:11 +0300] "GET /TikiShop/checkout HTTP/1.1" 200 14641
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:06:11 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:06:11 +0300] "GET /TikiShop/assets/user_interface/assets/user_interface/img/white_leather.png HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [21/Dec/2021:16:06:11 +0300] "GET /TikiShop/assets/user_interface/bookImgs/educated.jpg HTTP/1.1" 200 452353
