0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:43 +0300] "GET /assets/user_interface/img/disc.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:43 +0300] "GET /TikiShop/assets/user_interface/bookImgs/becoming.jpg HTTP/1.1" 200 426065
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:43 +0300] "GET /TikiShop/assets/user_interface/bookImgs/maigret.jpg HTTP/1.1" 200 3127901
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:43 +0300] "GET /TikiShop/assets/user_interface/bookImgs/yearofwitching.jpg HTTP/1.1" 200 666442
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /TikiShop/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /TikiShop/home HTTP/1.1" 200 26582
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /TikiShop/assets/user_interface/bookImgs/codedavinci.jpg HTTP/1.1" 200 349729
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /assets/user_interface/img/mc.png HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /assets/user_interface/img/pp.png HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /assets/user_interface/img/visa.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /assets/user_interface/img/maestro.png HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /assets/user_interface/img/disc.png HTTP/1.1" 404 817
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /TikiShop/assets/user_interface/bookImgs/codedavinci.jpg HTTP/1.1" 200 349729
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /TikiShop/assets/user_interface/bookImgs/pine.jpg HTTP/1.1" 200 232695
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:46 +0300] "GET /TikiShop/assets/user_interface/bookImgs/tablemanners.jpg HTTP/1.1" 200 373732
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:48 +0300] "GET /TikiShop/register HTTP/1.1" 200 16432
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:48 +0300] "GET /TikiShop/assets/user/img/paypal.jpg HTTP/1.1" 404 702
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:48 +0300] "GET /TikiShop/assets/user_interface/bookImgs/greatcoat.jpg HTTP/1.1" 200 103934
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:48 +0300] "GET /assets/user_interface/img/mc.png HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:48 +0300] "GET /assets/user_interface/img/maestro.png HTTP/1.1" 404 820
0:0:0:0:0:0:0:1 - - [02/Dec/2021:01:44:48 +0300] "GET /assets/user_interface/img/pp.png HTTP/1.1" 404 815
